cnpj_cia;cd_cvm;denom_social;denom_comerc;dt_const;setor_ativ;sit_emissor;controle_acionario;logradouro;compl;bairro;mun;uf;cep;auditor;descricao;site;ticker
00.873.894/0001-24;27383;LET'S RENT A CAR S.A.;LET'S RENT A CAR S.A.;1995-10-09;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Via de Acesso Engenheiro Ivo Najm, 3800,;Bloco I;2° Dist. Industrial;ARARAQUARA;SP;14808159.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Transporte de passageiros e locação de automóveis com motorista, locação de automóveis sem condutor e de outros meios de transporte não especificados anteriormente, sem condutor.;https://www.lets.com.br/;
02.357.251/0001-53;24872;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A.;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A.;1997-12-22;Máquinas, Equipamentos, Veículos e Peças;FASE OPERACIONAL;PRIVADO;Rua Giuseppe Mattea;350 A;Fragata;PELOTAS;RS;96050080.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Fabricação de instrumentos não eletronicos e utensilios para uso médico, odontológico e delaboratório;www.lifemed.com.br;['LMED']
04.368.865/0001-66;27367;LIGGA TELECOMUNICAÇÕES S.A.;LIGGA TELECOMUNICAÇÕES S.A.;2001-04-04;Telecomunicações;FASE PRÉ-OPERACIONAL;PRIVADO;Rua Vicente Machado, nº 1.001;;Batel;LONDRINA;PR;80420011.0;BKR - LOPES, MACHADO AUDITORES;Serviços de telecomunicações, de comunicações e serviços correlados, com e sem fornecimento de materiais.;www.liggavc.com.br;
01.917.818/0001-36;23000;LIGHT ENERGIA S.A.;LIGHT ENERGIA S.A;1997-06-23;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Av.Marechal Floriano;168;Centro;RIO DE JANEIRO;RJ;20080002.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;;;
03.378.521/0001-75;19879;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;1999-07-27;Energia Elétrica;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Av.Marechal Floriano;168;Centro;RIO DE JANEIRO;RJ;20080002.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Participação em sociedades p/ exploração serviços de energia elétrica;www.light.com.br;['LIGT3']
60.444.437/0001-46;8036;LIGHT SERVIÇOS DE ELETRICIDADE SA;LIGHT;1904-06-30;Energia Elétrica;FASE OPERACIONAL;PRIVADO HOLDING;Av.Marechal Floriano;168;Centro;RIO DE JANEIRO;RJ;20080002.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;A LIGHT - Serviços de Eletricidade S.A. tem como atividade a distribuição de energia elétrica.;www.light.com.br;
00.974.211/0001-25;24937;LINHA AMARELA S.A.- LAMSA;LINHA AMARELA S./A.;1995-11-21;Serviços Transporte e Logística;FASE OPERACIONAL;;Av. Governador Carlos Lacerda, s/n;s/n;Agua Santa;RIO DE JANEIRO;RJ;20745150.0;MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.;Exploração do pedágio, operação, manutenção e exploração da via denominada Linha Amarela S.A.;https://lamsa-ri.invepar.com.br/;
10.234.027/0001-00;23680;LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA S.A.;LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA S.A.;2008-07-07;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Praça Rui Barbosa, nº 80;(parte);Centro;CATAGUASES;MG;36770901.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;A exploração de concessões de serviços públicos de transmissão de energia elétrica, prestados mediante a implantação, construção, montagem, operação e manutenção de instalações de transmissão.;https://ri.energisa.com.br/;
10.240.186/0001-00;23671;LINHAS DE XINGU TRANSMISSORA DE ENERGIA S.A.;LINHAS DE XINGU TRANSMISSORA DE ENERGIA S.A.;2008-07-07;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Praça Rui Barbosa, nº 80;(parte);Centro;CATAGUASES;MG;36770901.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;A exploração de concessões de serviços públicos de transmissão de energia elétrica, prestados mediante a implantação, construção, montagem, operação e manutenção de instalações de transmissão.;https://ri.energisa.com.br;
00.743.065/0001-27;15091;LITEL PARTICIPACOES SA;LITEL PARTICIPACOES;1995-10-01;Extração Mineral;FASE OPERACIONAL;PRIVADO;Av. Ayrton Senna;3000 - sala 4098;Barra da Tijuca;RIO DE JANEIRO;RJ;22775003.0;BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES LTDA.;;www.litelbrasil.com.br;['LTEL3B']
05.495.546/0001-84;24759;LITELA PARTICIPAÇÕES S.A. - EM LIQUIDAÇÃO;LITELA PARTICIPAÇÕES S.A.;2003-01-30;Extração Mineral;LIQUIDAÇÃO EXTRAJUDICIAL;PRIVADO;Av. Ayrton Senna;3000 - sala 4098;Barra da Tijuca;RIO DE JANEIRO;RJ;22775003.0;BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES LTDA.;A Cia tem como atividade a participação, sob qualquer forma, no capital de outras sociedades civis ou comerciais. Atualmente, a Cia tem participação somente na Vale S.A.;www.litelabrasil.com.br;['LTLA']
05.917.486/0001-40;25895;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;2003-10-02;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Rodovia BA-262, Ilhéus x Uruçuca, s/nº, Km 2,8 Quadra A;Polo de Informática;Iguape;ILHÉUS;BA;45658335.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;A Companhia tem como atividade principal a exploração da indústria de eletrônicos, incluindo a locação e comercialização de equipamentos de informática, eletrônicos, telecomunicações e comunicação.;http://www.ri.wdcnet.com.br;
