;cnpj_cia;cd_cvm;denom_social;denom_comerc;dt_const;setor_ativ;sit_emissor;controle_acionario;logradouro;compl;bairro;mun;uf;cep;auditor;descricao;site;ticker;ibov
244;02.429.144/0001-93;18660;CPFL ENERGIA SA;CPFL ENERGIA S.A.;1998-03-20;Energia Elétrica;FASE OPERACIONAL;PRIVADO HOLDING;Rua Jorge de Figueiredo Corrêa;1632, parte;Jd Prof. Tarcília;CAMPINAS;SP;13087397.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Gestão de Participações Societárias (Holdings);www.cpfl.com.br;['CPFE3'];True
247;62.984.091/0001-02;25526;CRUZEIRO DO SUL EDUCACIONAL S.A.;CRUZEIRO DO SUL EDUCACIONAL S.A.;1970-07-09;Educação;FASE OPERACIONAL;PRIVADO;Rua Cubatão, 320;3º, 8º e 9º Andar;Vila Mariana;SÃO PAULO;SP;4013001.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Atividades relacionadas à prestação de serviços do setor de educação e áreas associadas, administração de bens próprios e participação em outras sociedades.;https://www.cruzeirodosuleducacional.edu.br/;['CSED3'];False
249;01.896.779/0001-38;20044;CSU DIGITAL S.A.;CSU DIGITAL S.A.;1996-08-01;Sem Setor Principal;FASE OPERACIONAL;PRIVADO;Rua Piauí;136;Nova Aldeinha;BARUERI;SP;6440182.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Terceirização em administração e processamento de meios eletrônicos de pagamento, gestão em terceirização de contact center, desenvolvimento e gestão operacional de programas de fidelidade e incentivo;www.csu.com.br;['CSUD3'];False
250;06.981.381/0001-13;23981;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2004-08-10;Agricultura (Açúcar, Álcool e Cana);FASE OPERACIONAL;PRIVADO;Rodovia SP 147;KM 135;Fazenda SantoAntônio;PIRACICABA;SP;13433899.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Com sua atuação em biotecnologia e melhoramento genético o CTC busca busca promover o aumento da produtividade, a redução de custos e soluções agrícolas e industriais para o setor sucroenergético.;www.ctc.com.br;['CTCA3'];False
251;02.998.611/0001-04;18376;CTEEP CIA TRANSM ENERGIA ELÉTR. PAULISTA;CTEEP;1999-02-04;Energia Elétrica;FASE OPERACIONAL;PRIVADO HOLDING;Av. das Nações Unidas 14171 - Torre Crystal;6º andar;Vila Gertrudes;SÃO PAULO;SP;4794000.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Transmissão de Energia Elétrica;http://www.isacteep.com.br/ri - http://www.isacteep.com.br;['TRPL3', 'TRPL4'];False
252;08.797.760/0001-83;25100;CURY CONSTRUTORA E INCORPORADORA S.A.;;2019-10-19;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Rua Funchal, nº 411, 13º andar;Conjunto 132-D;Vila Olímpia;SÃO PAULO;SP;4551060.0;KPMG AUDITORES INDEPENDENTES LTDA.;Somos uma companhia com foco na incorporação e construção de empreendimentos residenciais enquadrados no programa habitacional Minha Casa Minha Vida e Sistema Brasileiro de Poupança e Empréstimo-SBPE;https://cury.net/;['CURY3'];False
253;10.760.260/0001-19;23310;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA;2009-03-25;Hospedagem e Turismo;FASE OPERACIONAL;PRIVADO;Rua da Catequese, 227;11º Andar - sala 111;Jardim;SANTO ANDRÉ;SP;9090401.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Serviços de turismo, compreendendo a intermediação, individualmente ou na forma agregada, de passagens aéreas, transporte terrestre, reservas de hotéis, passagens de cruzeiros marítimos, entre outros.;http://www.cvc.com.br/ri;['CVCB3'];True
255;73.178.600/0001-18;14460;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;CYRELA BRAZIL REALTY S.A.;1973-01-01;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Rua do Rócio, 109;2ºandar Sala01 Parte;Vila Olímpia;SÃO PAULO;SP;4552000.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Incorporação Imobiliária;www.cyrela.com.br;['CYRE3'];True
256;12.108.897/0001-50;25046;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;;2010-06-21;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO HOLDING;Avenida Ayrton Senna, nº 2.150;Bloco P, 3º andar;Barra da Tijuca;RIO DE JANEIRO;RJ;22775003.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;A Companhia tem por objeto a participação, como sócia ou acionista, em outras sociedades do varejo farmacêutico, nacionais ou estrangeiras.;https://ri.reded1000.com.br;['DMVF3'];False
259;08.170.849/0001-15;26026;DESKTOP S.A;DESKTOP S.A;2006-05-18;Telecomunicações;FASE OPERACIONAL;PRIVADO;Estrada Municipal Teodor Condiev, 970;13º andar;Jardim Marchissolo;SUMARÉ;SP;13171105.0;KPMG AUDITORES INDEPENDENTES LTDA.;Serviços de telefonia fixa, telecomunicações sem fio, televisão por assinatura, provedores de acesso às redes de comunicações e voz, tratamento de dados, provedores de serviços de aplicação.;www.ri.desktop.com.br;['DESK3'];False
260;97.837.181/0001-47;21091;DEXCO S.A.;DEXCO S.A.;1962-01-25;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Avenida Paulista;1938 - 5º andar;Bela Vista;SÃO PAULO;SP;1310942.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Fabricação, Comércio, Importação e Exportação de Produtos derivados de Madeira, de Produtos de Metais e Materiais Cerâmicos;www.dex.co;['DXCO3'];True
261;02.193.750/0001-52;16632;DEXXOS PARTICIPAÇÕES S.A.;DEXXOS PARTICPAÇÕES S.A.;1997-10-01;Sem Setor Principal;FASE OPERACIONAL;PRIVADO;Rua do Passeio, 70;5º andar;Centro;RIO DE JANEIRO;RJ;20021290.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Holding de instituições não-financeiras;www.dexxos.com.br;['DEXP3', 'DEXP4'];False
262;61.486.650/0001-83;19623;DIAGNOSTICOS DA AMERICA SA;DIAGNOSTICOS DA AMERICA SA;1961-01-01;Serviços Médicos;FASE OPERACIONAL;PRIVADO;Avenida Juruá, 434;-;Alphaville;BARUERI;SP;6455010.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Medicina Diagnóstica, Hospitais e Oncologia.;www.dasa3.com.br;['DASA3'];False
266;16.614.075/0001-00;21350;DIRECIONAL ENGENHARIA SA;DIRECIONAL ENGENHARIA SA;1981-01-01;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO HOLDING;Rua dos Otoni, 177;177;Santa Efigênia;BELO HORIZONTE;MG;30150270.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Incorporação, construção e comercialização de imóveis próprios ou de terceiros e prestação de serviços de engenharia.;www.direcional.com.br/ri;['DIRR3'];False
267;91.669.747/0001-92;6076;DM FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;DM FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;1962-09-12;Bancos;FASE OPERACIONAL;PRIVADO;AV CASSIANO RICARDO, 521;SALA 09 BLOCO 2;PQ RES AQUARIUS;SÃO JOSÉ DOS CAMPOS;SP;12246870.0;KPMG AUDITORES INDEPENDENTES LTDA.;FINANCIAMENTO DE BENS E SERVIÇOS - INTERMEDIAÇÃO FINANCEIRA;www.vocedmfinanceira.com.br;['DMFN3'];False
268;84.683.408/0001-03;5207;DOHLER S.A.;DOHLER;1755-12-09;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Rua Arno Waldemar Döhler,;145;Zona Indl. Norte;JOINVILLE;SC;89219902.0;VGA AUDITORES INDEPENDENTES SOCIEDADE SIMPLES LTDA;Tecelagem de Fios de Algodão e Fibras sintéticas;www.dohler.com.br;['DOHL3', 'DOHL4'];False
269;18.174.270/0001-84;25836;DOTZ S.A.;DOTZ S.A;2013-05-14;Comunicação e Informática;FASE OPERACIONAL;PRIVADO HOLDING;Avenida das Nações Unidas, 12995, 16º andar - Wework;Sala nº 1601 e 1602;Itaim Bibi;SÃO PAULO;SP;4578911.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Desenvolvimento e gerenciamento de programa de fidelização de clientes em razão do consumo de bens e serviços oferecidos por parceiros comercialização de direitos de resgate e prêmios.;ri.dotz.com.br;['DOTZ3'];False
270;03.303.999/0001-36;18597;DTCOM - DIRECT TO COMPANY S.A.;DTCOM;1999-07-20;Telecomunicações;FASE OPERACIONAL;PRIVADO;AV. DOM PEDRO II,;1720;ITABIRA;QUATRO BARRAS;PR;83420000.0;MÜLLER & PREI AUDITORES INDEPENDENTES S/S;TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL;www.dtcom.com.br;['DTCY3', 'DTCY'];False
275;04.149.454/0001-80;19453;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;2000-11-07;Serviços Transporte e Logística;FASE OPERACIONAL;ESTATAL HOLDING;Rua Gomes de Carvalho, nº 1.510;Conjuntos 31/32;Vila Olímpia;SÃO PAULO;SP;4547005.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Exploração direta ou indireta de negócios de concessão de obras e serviços públicos e organização logísitica do transporte de carga.;www.ecorodovias.com.br;['ECOR3'];False
282;82.643.537/0001-34;5380;ELECTRO AÇO ALTONA S/A;ELECTRO AÇO ALTONA S/A;1924-03-08;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;Rua Eng.º Paul Werner, 925;CONTABILIDADE;itoupava Seca;BLUMENAU;SC;89030900.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Fundição de Ferro e Aço;www.altona.com.br;['EALT3', 'EALT4'];False
283;02.328.280/0001-97;17485;ELEKTRO REDES S.A.;ELEKTRO REDES S.A.;1998-01-06;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Rua Ary Antenor de Souza;nº 321;Jd. Nova América;CAMPINAS;SP;13053024.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Distribuição de Energia Elétrica;http://ri.neoenergia.com/;['EKTR3', 'EKTR4'];False
284;01.104.937/0001-70;15784;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;ELETROPAR;1996-01-29;Energia Elétrica;FASE OPERACIONAL;ESTATAL;Rua São Bento - n º 01;9 º andar - sala 902;Centro;RIO DE JANEIRO;RJ;20090010.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;A ELETROPAR tem por objeto social principal a participação no capital social da ELETROPAULO - Eletricidade de São Paulo S.A., concessionária de serviços pub. de energia elét., e de outras sociedades.;www.eletrobraspar.com;['LIPR3'];False
285;09.347.516/0001-81;25569;ELETROMIDIA S.A.;ELETROMIDIA S.A.;2013-11-07;Comunicação e Informática;FASE OPERACIONAL;PRIVADO;R. LEOPOLDO COUTO MAGALHãES JúNIOR, 700;9º ANDAR;ITAIM BIBI;SÃO PAULO;SP;4542001.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Prestação de serviços de distribuição e comercialização de painés eletrônicos e publicidade.;ri.eletromidia.com.br;['ELMD3'];False
289;02.302.101/0001-42;16993;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;EMAE;1997-12-11;Energia Elétrica;FASE OPERACIONAL;ESTATAL;Avenida Jornalista Roberto Marinho, 85;16º e 17º andares;Cidade Monções;SÃO PAULO;SP;4576010.0;RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S;Produção de Energia Elétrica;https://ri.emae.com.br/;['EMAE3', 'EMAE4'];False
291;07.689.002/0001-89;20087;EMBRAER S.A.;EMBRAER;2005-09-02;Máquinas, Equipamentos, Veículos e Peças;FASE OPERACIONAL;PRIVADO;Av.Brigadeiro Faria Lima 2170;Prédio F-100;Putim;SÃO JOSÉ DOS CAMPOS;SP;12227901.0;KPMG AUDITORES INDEPENDENTES LTDA.;Projeto, desenvolvimento, fabricação, comercialização de aeronaves e sistemas e fornecimento de suporte e serviços de pós-venda.;www.embraer.com.br;['EMBR3'];True
293;06.626.253/0001-51;22608;EMPREENDIMENTOS PAGUE MENOS SA;EMPREENDIMENTOS PAGUE MENOS SA;1981-05-19;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Rua Senador Pompeu;nº 1520;Centro;FORTALEZA;CE;60025002.0;KPMG AUDITORES INDEPENDENTES LTDA.;Comércio de produtos farmacêuticos, perfumarias e afins, sem manipulação de fórmulas.;https://ri.paguemenos.com.br/;['PGMN3'];False
294;11.669.021/0001-10;22365;ENAUTA PARTICIPAÇÕES S.A.;QGEP PARTICIPAÇÕES SA;2010-03-09;Petróleo e Gás;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Almirante Barroso nº52;1301;Centro;RIO DE JANEIRO;RJ;20031918.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Participação em sociedades que se dediquem à exploração, produção e comercialização de petróleo, gás natural e seus derivados, seja como sócia ou acionista ou outras formas de associações.;www.enauta.com.br;['ENAT3'];False
296;03.467.321/0001-99;14605;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;1956-08-04;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Rua Vereador João Barbosa Caramuru;nº 184;Bandeirantes;CUIABÁ;MT;78010900.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Distribuição de energia elétrica;https://ri.energisa.com.br/;['ENMT3', 'ENMT4'];False
299;00.864.214/0001-06;15253;ENERGISA SA;ENERGISA;1995-08-09;Energia Elétrica;FASE OPERACIONAL;PRIVADO;PRAÇA RUI BARBOSA;Nº 80 (PARTE);CENTRO;CATAGUASES;MG;36770901.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Sociedade de participações em outras empresas, predominantemente em distribuidoras de energia elétrica.;https://ri.energisa.com.br/;['ENGI3', 'ENGI4', 'ENGI11'];True
303;04.423.567/0001-21;21237;ENEVA S.A.;ENEVA SA;2001-04-25;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Praia de Botafogo nº 501, Bloco I, 2º e 4º andares;;Botafogo;RIO DE JANEIRO;RJ;22250040.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Empresa atuante na área de energia, em especial no segmento de geração, distribuição, comercialização, exportação e importação de energia elétrica, hidrocarbonetos e seus derivados.;www.eneva.com.br;['ENEV3'];True
304;02.474.103/0001-19;17329;ENGIE BRASIL ENERGIA S.A.;TRACTEBEL ENERGIA;1998-01-29;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Rua Paschoal Apóstolo Pítsica, 5064;;Agronômica;FLORIANÓPOLIS;SC;88025255.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;GERAÇÃO, COMERCIALIZAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA;www.engie.com.br/investidores;['EGIE3'];True
305;16.922.038/0001-51;25259;ENJOEI S.A.;;2012-08-01;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Avenida Ipiranga, 200;Loja 87, Terraço;República;SÃO PAULO;SP;1046925.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;"Plataforma digital de compra e venda de para produtos usados, por meio da criação de ""lojas virtuais"" pelos próprios usuários";https://www.enjoei.com.br/;['ENJU3'];False
308;03.220.438/0001-73;20010;EQUATORIAL ENERGIA S/A;EQUATORIAL ENERGIA S/A;1999-06-16;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Alameda A, Quadra SQS, nº 100, Loteamento Quitandinha;Anexo A, sala 31;Altos do Calhau;SÃO LUÍS;MA;65070900.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Holding com participação em sociedades no setor de energia elétrica e saneamento.;www.equatorialenergia.com.br;['EQTL3'];True
310;06.272.793/0001-84;16608;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;1965-12-31;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Alameda A, QDA SQS, Loteamento Quitandinha;s/n;Altos do Calhau;SÃO LUÍS;MA;65071680.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Empresa distribuidora de energia elétrica para todo o Estado do Maranhão.;www.ri.equatorialenergia.com.br;['EQMA3B', 'EQMA5B', 'EQMA6B'];False
311;04.895.728/0001-80;18309;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;1960-08-31;Energia Elétrica;FASE OPERACIONAL;PRIVADO;RODOVIA AUGUSTO MONTENEGRO, KM. 8,5;S/Nº;COQUEIRO;BELÉM;PA;66823010.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Distribuição de energia elétrica;www.celpa.com.br;['CELP3', 'CELP7', 'CELP5', 'CELP6'];False
315;61.092.037/0001-81;5762;ETERNIT S.A.- EM RECUPERAÇÃO JUDICIAL;ETERNIT;1940-01-30;Construção Civil, Mat. Constr. e Decoração;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Rua Dr. Fernandes Coelho, 85;8º andar;Pinheiros;SÃO PAULO;SP;5423040.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Industrialização e comercialização de telhas de fibrocimento, além de ter atuação na industrialização e comercialização de telhas de concreto e telhas solares, bem como outros materiais de construção.;ri.eternit.com.br;['ETER3'];False
316;56.643.018/0001-66;5770;EUCATEX S.A. INDUSTRIA E COMERCIO;EUCATEX;1951-11-23;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Av. Juscelino Kubitschek, 1830 11 andar;Torre II;Vila Olimpia;SÃO PAULO;SP;4543900.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Indústria e Comércio de chapas de fibra de madeira;www.eucatex.com.br/ri;['EUCA3', 'EUCA4'];False
317;61.190.096/0001-92;26700;EUROFARMA LABORATÓRIOS S.A.;EUROFARMA LABORATËRIOS S.A.;1962-07-04;Farmacêutico e Higiene;FASE OPERACIONAL;PRIVADO;Rua Pascoal Pais, 525;19º andar;Vila Cordeiro;SÃO PAULO;SP;4581060.0;KPMG AUDITORES INDEPENDENTES LTDA.;Fabricação, comercialização, pesquisa e desenvolvimento de medicamentos e prestação de serviços correlatos.;www.ri.eurofarma.com.br;['EUFA'];False
318;43.470.988/0001-65;20524;EVEN CONSTRUTORA E INCORPORADORA S/A;EVEN;2002-01-01;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Rua Hungria;1400, 2º andar;Jardim América;SÃO PAULO;SP;1455000.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Construção, incorporação e loteamento.;www.even.com.br;['EVEN3'];False
319;95.426.862/0001-97;1570;EXCELSIOR ALIMENTOS SA.;EXCELSIOR;1926-08-30;Alimentos;FASE OPERACIONAL;PRIVADO;Rua Barão do Arroio Grande;;Arroio Grande;SANTA CRUZ DO SUL;RS;96830504.0;KPMG AUDITORES INDEPENDENTES LTDA.;Atua na produção e comercialização de patês em bisnagas, sendo seus principais produtos: presuntos, fiambres, mortadelas, linguiças, salsichas e patês.;www.excelsior.com.br;['BAUH3', 'BAUH4'];False
321;08.312.229/0001-73;20770;EZ TEC EMPREEND. E PARTICIPAÇÕES S/A;EZ TEC EMPREEND. E PARTICIPAÇÕES S/A;1979-02-15;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Av. República do Líbano;1921;Ibirapuera;SÃO PAULO;SP;4501002.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;(a) Incorporação e comercialização de empreendimentos imobiliários de qualquer natureza, (b) administração e locação de imóveis prórpios, (c) loteamento de terrenos, (d) construção de condomínios ...;www.eztec.com.br/ri;['EZTC3'];True
324;00.924.429/0001-75;15369;FERROVIA CENTRO-ATLANTICA S.A.;FERROVIA CENTRO-ATLÂNTICA S.A.;1995-08-14;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Rua Sapucaí, 383.;Prédio, 7º andar.;Floresta;BELO HORIZONTE;MG;30150904.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Serviço de Transporte Ferroviário;https:/ri.vli-logistica.com.br;['VSPT3', 'VSPT4'];False
326;22.266.175/0001-88;20621;FERTILIZANTES HERINGER S.A.;FERTILIZANTES HERINGER SA;1968-09-15;Petroquímicos e Borracha;FASE OPERACIONAL;PRIVADO;Avenida Irene Karcher, 620;;Betel;PAULÍNIA;SP;13148906.0;KPMG AUDITORES INDEPENDENTES LTDA.;Produção, comercialização e distribuição de fertilizantes, com atuação nacional.;www.heringer.com.br;['FHER3'];False
327;17.159.005/0001-64;5983;FIACAO E TECELAGEM SAO JOSE S/A - EM RECUPERAÇÃO JUDICIAL;SÃO JOSÉ;1933-11-23;Têxtil e Vestuário;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;RUA GENERAL MAC ARTHUR;Nº 418 - SALA 203;IMBIRIBEIRA;RECIFE;PE;51160280.0;PHF - AUDITORES INDEPENDENTES S/S;;;['SJOS', 'SJOS'];False
328;07.820.907/0001-46;20630;FICA EMPREENDIMENTOS IMOBILIARIOS S.A.;CR2 EMPREENDIMENTOS IMOBILIÁRIOS S/A;2006-01-10;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Av. Santo Amaro;nº 48, conjunto 62;Vila Nova Conceição;SÃO PAULO;SP;4506000.0;MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.;Incorporação Imobiliária;https://ri.cr2.com.br/;['CRDE3'];False
330;60.840.055/0001-31;21881;FLEURY SA;FLEURY SA;1964-10-23;Serviços Médicos;FASE OPERACIONAL;PRIVADO;Avenida Morumbi, 8860;8º andar;Brooklin;SÃO PAULO;SP;4703003.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;(i) prestação de serviços médicos e medicina diagnóstica (ii) consultoria, assessoria, cursos, gestão de doenças crônicas (iii) pesquisa e desenvolvimento (iv) a prestação de serviços a terceiros;www.fleury.com.br/ri;['FLRY3'];False
333;88.610.126/0001-29;6211;FRAS-LE SA;FRAS-LE S.A.;1957-02-22;Máquinas, Equipamentos, Veículos e Peças;FASE OPERACIONAL;PRIVADO;Rodovia RS 122, Km 66, nº 10.945;Prédio adm;Forqueta;CAXIAS DO SUL;RS;95010550.0;KPMG AUDITORES INDEPENDENTES LTDA.;Fabricação de peças e acessórios para o sistema de freios de veículos automotores;ri.fraslemobility.com;['FRAS3'];False
335;01.545.826/0001-07;16101;GAFISA SA;GAFISA;1996-11-12;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;ESTRANGEIRO;Av. Pres. Juscelino Kubitschek, 1830;13º andar - Bloco 1;Vila Nova Conceição;SÃO PAULO;SP;4543900.0;BKR - LOPES, MACHADO AUDITORES;;www.gafisa.com.br;['GFSA3'];False
336;02.796.775/0001-40;17965;GAMA PARTICIPAÇÕES S.A.;GAMA PARTICIPAÇÕES SA;1998-08-25;Sem Setor Principal;FASE OPERACIONAL;PRIVADO;AV. PRESIDENTE ANTONIO CARLOS Nº 51;10º ANDAR(PTE);CENTRO;RIO DE JANEIRO;RJ;20020010.0;BKR - LOPES, MACHADO AUDITORES;PARTICIPAÇÃO EM OUTRAS SOCIEDADES.;http://www.gamaparticipacoes.com.br/home/index.aspx;['OPGM3'];False
337;08.764.621/0001-53;21008;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;GENERAL SHOPPING BRASIL SA;2006-03-06;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Av. Angélica, 2466;24 andar - Conj. 241;Cerqueira César;SÃO PAULO;SP;1228200.0;COTRIM & ASSOCIADOS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES;Administração de Shopping Centers;www.generalshopping.com.br;['GSHP3'];False
338;33.611.500/0001-19;3980;GERDAU S.A.;GERDAU S.A.;1961-11-20;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;Avenida Doutora Ruth Cardoso, 8.501;8º andar;Pinheiros;SÃO PAULO;SP;5425070.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Participação e Administração;https://www.gerdau.com.br/;['GGBR3', 'GGBR4'];True
339;14.127.813/0001-51;25887;GETNINJAS S.A.;GETNINJAS S.A.;2011-07-25;Comunicação e Informática;FASE OPERACIONAL;PRIVADO;Alameda Gabriel Monteiro da Silva n.º 2345;2o andar;Jardim America;SÃO PAULO;SP;1441002.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;A Companhia é uma plataforma inovadora, disponível para sistemas Android, iOS e web, presente em todos os Estados do Brasil e conecta digitalmente profissionais de variadas áreas a potenciais clientes;https://ri.getninjas.com.br/;['NINJ3'];False
341;06.164.253/0001-87;19569;GOL LINHAS AEREAS INTELIGENTES SA;GOL LINHAS AEREAS INTELIGENTES SA;2004-03-12;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO HOLDING;Praça Comandante Lineu Gomes S/N;Portaria 3;Jardim Aeroporto;SÃO PAULO;SP;4626020.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Gestão de Participação Societária;www.voegol.com.br/ri;['GOLL4'];True
342;09.229.201/0001-30;25712;GPS PARTICIPAÇÕES E EMPREENDIMENTOS S/A;GPS PARTICIPAÇÕES E EMPREENDIMENTOS S/A;2011-12-07;Sem Setor Principal;FASE OPERACIONAL;PRIVADO;Av. Miguel Frias e Vasconcelos, nº 1215;2º andar;Jaguaré;SÃO PAULO;SP;5345000.0;KPMG AUDITORES INDEPENDENTES LTDA.;Administração patrimonial de bens e interesses próprios e de suas subsidiárias e coligadas participação em empreendimentos comerciais e industriais participação como acionista ou sócia de sociedade;www.gpssa.com.br;['GGPS3'];False
345;92.012.467/0001-70;4537;GRAZZIOTIN SA;GRAZZIOTIN;1950-05-24;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;RUA VALENTIN GRAZZIOTIN;077;SÃO CRISTOVAO;PASSO FUNDO;RS;99060030.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Comércio Varejista de Vesturio e Bazar.;www.grazziotin.com.br;['CGRA3', 'CGRA4'];False
346;89.850.341/0001-60;19615;GRENDENE SA;GRENDENE SA;1971-02-25;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Pimentel Gomes;214;Expectativa;SOBRAL;CE;62040125.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Fabricação de calçados em geral;http://www.grendene.com.br/;['GRND3'];False
